No,AD_CLIENT_ID,DEPT_CODE,APPLIED_CHARGES_CLASS,PURPOSE_OF_USE_MR,CONTRACT_ORG_CODE,CONTRACT_ORG_KBN,CONTRACT_TYPE,D_ID_RENTAL_KBN,RENTAL_TERM_KBN,YEAR,MONTH,DAY,PREVIOUS_MONTH_ADJ,COUNT,SALES_AMT,RENTAL_TIME
75,1000002,3K3Z3,P0,3,3TC00,1,2,7,1,2021,10,1,9,0,0,0
76,1000002,3K3Z3,P2,1,3F000,2,4,7,1,2021,10,1,0,1,11600,36
77,1000002,3K3Z3,P7,3,3F000,2,6,7,Z,2021,10,1,0,1,7500,9
78,1000002,3K3Z3,PT0,3,3X000,5,1,7,Z,2021,10,1,0,1,7310,46
79,1000002,3K3Z3,T1,3,3F000,3,7,7,1,2021,10,1,9,0,5986,0
80,1000002,3K3Z3,T3,3,3K3Z3,4,3,7,1,2021,10,1,0,1,21400,27
81,1000002,3K3Z3,T5,1,3F000,3,7,7,1,2021,10,1,0,1,20430,24
82,1000002,3K3Z3,T6,3,3F000,3,8,7,1,2021,10,1,0,1,0,4
83,1000002,3K4A1,P0,1,3F000,3,7,7,1,2021,10,1,0,1,11875,29
84,1000002,3K4A1,P1,3,3TA00,1,1,1,1,2021,10,1,0,1,4500,21
85,1000002,3K4A1,P2,1,3F000,2,6,7,1,2021,10,1,0,1,20568,28
86,1000002,3K4A1,P2,1,3F000,3,8,7,1,2021,10,1,0,1,15000,26
87,1000002,3K4A1,P2,3,3TA00,1,1,7,1,2021,10,1,0,1,5228,20
88,1000002,3K4A1,P2,3,DBB00,5,1,7,1,2021,10,1,0,2,11544,15
89,1000002,3K4A1,P2,3,DBC00,5,1,7,1,2021,10,1,0,1,17900,96
90,1000002,3K4A1,P6,1,3F000,3,8,7,1,2021,10,1,0,1,11000,12
91,1000002,3K4A1,P7,1,3F000,2,6,7,Z,2021,10,1,0,3,25400,51
92,1000002,3K4A1,W1,1,3F000,2,6,7,Z,2021,10,1,0,1,21600,36
93,1000002,3K4B3,C2,2,3F000,3,7,7,1,2021,10,1,9,0,0,0
94,1000002,3K4B3,P0,3,3TC00,1,2,7,1,2021,10,1,0,1,5200,24
95,1000002,3K4B3,P0,3,3TC00,1,2,7,1,2021,10,1,9,0,0,0
96,1000002,3K4B3,P0,4,3K4B3,4,3,3,1,2021,10,1,9,-1,-9091,-30
97,1000002,3K4B3,P0,4,3K4B3,4,3,4,1,2021,10,1,9,0,9091,0
98,1000002,3K4B3,P0,5,3K4B3,4,3,4,1,2021,10,1,9,-1,0,-120
99,1000002,3K4B3,P1,1,3F000,3,7,7,1,2021,10,1,0,1,16350,45
100,1000002,3K4B3,P1,5,3K4B3,4,3,4,1,2021,10,1,0,1,86000,459
101,1000002,3K4B3,PH2,4,3K4B3,4,3,3,Z,2021,10,1,9,-3,-86365,-436
102,1000002,3K4B3,PH2,4,3K4B3,4,3,4,Z,2021,10,1,9,0,86365,0
103,1000002,3K4B3,PT0,4,3K4B3,4,3,3,Z,2021,10,1,9,-2,-190910,-744
104,1000002,3K4B3,PT0,4,3K4B3,4,3,4,Z,2021,10,1,9,0,190910,0
105,1000002,3K4B3,T4,2,3F000,3,8,7,1,2021,10,1,0,1,19700,5
106,1000002,3K4B3,W4,4,3K4B3,4,3,3,3,2021,10,1,9,-1,-126000,-484
107,1000002,3K4B3,W4,4,3K4B3,4,3,4,2,2021,10,1,9,0,126000,0
108,1000002,3K4H1,P0,3,DBB00,5,1,7,1,2021,10,1,0,1,12900,54
109,1000002,3K4H1,P2,3,3TA00,1,1,7,2,2021,10,1,0,2,148000,1440
110,1000002,3K4H1,P7,1,3F000,2,6,7,Z,2021,10,1,0,1,5180,6
111,1000002,3K4H1,P7,1,3F000,3,8,7,Z,2021,10,1,0,1,5035,5
112,1000002,3K4H1,V1,3,3TC00,1,1,7,1,2021,10,1,0,1,5340,24
113,1000002,3K4M1,P1,3,3K4M1,4,3,7,2,2021,10,1,0,1,60000,720
114,1000002,3K4M1,P2,3,3TA00,1,1,7,1,2021,10,1,0,1,34200,212
115,1000002,3K4M1,P2,3,3TA00,1,1,7,2,2021,10,1,0,1,74000,720
116,1000002,3K4M1,P7,1,3F000,2,6,7,Z,2021,10,1,0,1,5114,4
117,1000002,3K4M1,PT0,6,3SE00,3,9,5,1,2021,10,1,0,1,5728,10
118,1000002,3K4M1,T0,2,3F000,3,7,7,1,2021,10,1,0,1,6845,6
119,1000002,3K5B1,C2,3,3K5B1,4,2,7,1,2021,10,1,0,1,7950,6
120,1000002,3K5B1,P0,3,3TA00,1,1,7,1,2021,10,1,0,6,23468,57
121,1000002,3K5B1,P0,3,3TC00,1,1,7,1,2021,10,1,0,1,4300,4
122,1000002,3K5B1,P1,1,3F000,2,4,7,1,2021,10,1,0,2,9600,17
123,1000002,3K5B1,P1,1,3F000,2,6,7,1,2021,10,1,0,1,4800,9
124,1000002,3K5B1,P1,1,3F000,3,8,7,1,2021,10,1,0,1,5300,5
125,1000002,3K5B1,P1,3,3TA00,1,1,7,1,2021,10,1,0,1,19000,105
126,1000002,3K5B1,P2,1,3F000,2,6,7,1,2021,10,1,0,1,5490,6
127,1000002,3K5B1,P2,3,3K5B1,4,3,7,1,2021,10,1,0,1,9278,22
128,1000002,3K5B1,P2,3,3TA00,1,1,7,1,2021,10,1,9,0,-12000,0
129,1000002,3K5B1,P2,3,3TC00,1,1,7,1,2021,10,1,0,1,4710,5
130,1000002,3K5B1,P7,1,3F000,2,6,7,Z,2021,10,1,0,5,35650,136
131,1000002,3K5E1,C2,5,3K3Z1,5,3,4,2,2021,10,1,0,1,167000,744
132,1000002,3K5E1,P1,3,DBC00,5,1,7,1,2021,10,1,0,1,5356,5
133,1000002,3K5E1,P2,3,3TA00,1,1,7,1,2021,10,1,0,1,14572,29
134,1000002,3K5E1,P2,3,3TA00,1,1,7,2,2021,10,1,0,3,228000,2160
135,1000002,3K5E1,P2,3,3TC00,1,1,7,1,2021,10,1,0,1,10468,34
136,1000002,3K5E1,P4,3,3TA00,1,1,7,1,2021,10,1,0,1,5232,21
137,1000002,3K5E1,P7,1,3F000,2,6,7,Z,2021,10,1,0,2,16410,27
138,1000002,3K5E1,P7,3,3F000,2,6,7,Z,2021,10,1,0,1,28600,104
139,1000002,3K5E1,PH2,1,3F000,3,7,7,Z,2021,10,1,0,1,28895,56
140,1000002,3K5E1,PH2,3,3TC00,1,1,7,Z,2021,10,1,0,1,5700,8
141,1000002,3K5E1,V1,3,3TA00,1,1,7,1,2021,10,1,0,1,4990,4
142,1000002,3K5E1,W4,1,3F000,3,8,7,1,2021,10,1,0,1,15280,10
143,1000002,3K5E1,WH4,3,3TA00,1,1,1,Z,2021,10,1,0,1,259800,720
144,1000002,3K5H1,P1,3,3K2D1,5,3,7,1,2021,10,1,0,1,5906,3
145,1000002,3K5H1,P1,3,3TA00,1,1,7,1,2021,10,1,0,1,3880,22
146,1000002,3K5H1,P1,3,3TA00,1,2,7,1,2021,10,1,0,1,12258,33
147,1000002,3K5H1,P2,3,3TA00,1,1,7,1,2021,10,1,0,1,21500,104
148,1000002,3K5H1,P2,3,DBB00,5,1,7,1,2021,10,1,0,1,5552,2
149,1000002,3K5H1,P7,1,3F000,2,6,7,Z,2021,10,1,0,1,6000,10
150,1000002,3K5H1,RV1,1,3F000,2,6,7,1,2021,10,1,0,1,10000,23
151,1000002,3K5H1,T4,3,3FAU1,5,2,7,1,2021,10,1,0,1,53600,28
152,1000002,3K5K1,P0,4,3K5K1,4,3,3,1,2021,10,1,9,0,-2000,-24
153,1000002,3K5K1,P2,1,3TA00,1,2,7,1,2021,10,1,0,1,5000,20
154,1000002,3K5K1,W4,1,3F000,3,7,7,1,2021,10,1,0,1,27500,26
155,1000002,3K5L1,P2,1,3F000,2,6,7,1,2021,10,1,0,1,12250,51
156,1000002,3K5L1,P2,3,3TC00,1,1,7,1,2021,10,1,0,1,6000,52
157,1000002,3K5L1,P2,3,DBC00,5,1,7,1,2021,10,1,0,2,31764,142
158,1000002,3K5L1,P5,5,3FBE1,5,3,4,1,2021,10,1,9,1,22728,96
159,1000002,3K5L1,P5,5,3K3Z1,5,3,4,1,2021,10,1,9,-1,-22728,-96
160,1000002,3K5L1,P7,1,3F000,2,6,7,Z,2021,10,1,0,1,4900,23
161,1000002,3K5L1,P7,3,3F000,2,6,7,Z,2021,10,1,0,1,27100,100
162,1000002,3K6A3,P0,1,3TA00,1,2,1,1,2021,10,1,0,1,8800,30
163,1000002,3K6A3,P0,3,3TC00,1,1,7,2,2021,10,1,0,5,175000,3556
164,1000002,3K6A3,P1,1,3F000,2,6,7,1,2021,10,1,0,2,24034,82
165,1000002,3K6A3,P1,1,3F000,2,6,7,1,2021,10,1,9,0,0,0
166,1000002,3K6A3,P1,3,3TC00,1,1,7,2,2021,10,1,0,1,38000,730
167,1000002,3K6A3,P2,1,3F000,3,8,7,1,2021,10,1,0,1,8285,10
168,1000002,3K6A3,P2,3,3K6A3,4,3,7,2,2021,10,1,0,2,117500,1460
169,1000002,3K6A3,P2,3,3TC00,1,1,7,2,2021,10,1,0,2,123000,1460
170,1000002,3K6A3,PH2,3,3K6A3,4,3,7,Z,2021,10,1,0,1,57000,730
171,1000002,3K6A3,PT0,1,3F000,3,8,7,Z,2021,10,1,9,0,0,0
172,1000002,3K6A3,RH0,3,3TA00,1,1,7,Z,2021,10,1,0,1,104000,730
173,1000002,3K6A3,RV0,5,3K6A3,4,3,4,1,2021,10,1,0,1,13400,240
174,1000002,3K6C3,P0,1,3F000,3,8,7,1,2021,10,1,0,1,9000,24
175,1000002,3K6C3,P1,1,3F000,3,8,7,1,2021,10,1,9,0,0,0
176,1000002,3K6C3,P2,1,3F000,2,6,7,1,2021,10,1,0,3,44305,187
177,1000002,3K6C3,P2,1,3F000,2,6,7,1,2021,10,1,9,0,0,0
178,1000002,3K6C3,P7,1,3F000,2,6,7,Z,2021,10,1,0,1,15500,56
179,1000002,3K6C3,PT0,5,3K6C3,4,3,4,Z,2021,10,1,9,0,41573,0
180,1000002,3K8A3,P0,3,3TC00,1,1,7,1,2021,10,1,0,1,15200,96
181,1000002,3M2A1,C0,3,3M2G1,5,3,7,1,2021,10,1,0,1,8000,71
182,1000002,3M2A1,C2,3,3M2A1,4,3,7,1,2021,10,1,0,1,32800,98
183,1000002,3M2A1,E5,3,DBB00,5,1,7,Z,2021,10,1,0,1,11900,7
184,1000002,3M2A1,P0,3,3F000,2,6,7,1,2021,10,1,0,1,6900,24
185,1000002,3M2A1,P0,3,3F000,3,8,7,1,2021,10,1,0,1,24050,71
186,1000002,3M2A1,P0,3,3TC00,1,1,7,2,2021,10,1,0,1,72000,536
187,1000002,3M2A1,P1,1,3F000,2,6,7,1,2021,10,1,0,1,6814,23
188,1000002,3M2A1,P1,1,3F000,3,7,7,1,2021,10,1,0,1,5035,5
189,1000002,3M2A1,P1,3,3F000,2,4,7,1,2021,10,1,0,1,5200,24
190,1000002,3M2A1,P1,3,3M2A1,4,3,7,1,2021,10,1,0,1,5600,3
191,1000002,3M2A1,P1,3,3TA00,1,1,1,1,2021,10,1,0,2,10410,9
192,1000002,3M2A1,P1,3,3TA00,1,1,7,1,2021,10,1,0,2,17128,34
193,1000002,3M2A1,P1,3,DBB00,5,1,7,1,2021,10,1,0,2,33220,86
194,1000002,3M2A1,P1,3,DBC00,5,1,7,1,2021,10,1,0,1,8706,22
195,1000002,3M2A1,P2,1,3F000,3,7,7,1,2021,10,1,0,1,9315,20
196,1000002,3M2A1,P2,3,3TA00,1,1,7,1,2021,10,1,0,2,15126,39
197,1000002,3M2A1,W1,3,3TC00,1,1,7,Z,2021,10,1,0,1,11096,7
198,1000002,3M2B1,P0,1,3F000,3,7,7,1,2021,10,1,0,1,7225,6
199,1000002,3M2B1,P1,1,3F000,2,6,7,1,2021,10,1,0,1,2750,6
200,1000002,3M2B1,P1,3,3F000,2,6,7,1,2021,10,1,0,1,6500,36
201,1000002,3M2B1,P1,3,3F000,3,7,7,1,2021,10,1,0,1,54850,167
202,1000002,3M2B1,P1,3,3TC00,1,1,7,1,2021,10,1,0,1,16300,74
203,1000002,3M2B1,P2,1,3F000,2,6,7,1,2021,10,1,0,1,15550,71
204,1000002,3M2B1,P2,3,3F000,2,6,7,1,2021,10,1,0,1,3359,6
205,1000002,3M2B1,P2,3,DBB00,5,1,7,1,2021,10,1,0,1,19200,79
